entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_05165,,Cuzabamba,Toponym,settlement,Pueblo,Latacunga,Quito,TopUrbiPlace15280
id_05166,,Cuzalapa,Toponym,settlement,Pueblo,Amola,Nueva España,TopUrbiPlace15281
id_05167,,Cuzamala,Toponym,settlement,Pueblo Cabecera,Azuchitlan,Nueva España,TopUrbiPlace15282
id_05168,,Cuzcatlan,Toponym,settlement,Pueblo,San Salvador,unspecified,TopUrbiPlace15283
id_05169,,Cuzco,Toponym,settlement,Ciudad,Cuzco,Perú,TopUrbiPlace15284
id_05172,,Abancai,Correction,Correction,-,unspecified,,TopUrbiPlace15285
id_05173,,Abercorn,Correction,Correction,-,unspecified,,TopUrbiPlace15286
id_05174,,Acaponeta,Correction,Correction,-,unspecified,,TopUrbiPlace15287
id_05175,,Acayuca,Correction,Correction,-,unspecified,,TopUrbiPlace15288
id_05176,,Actopan,Correction,Correction,-,unspecified,,TopUrbiPlace15289
id_05177,,Agua de Culebra,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace15290
id_05178,,Caño de Aguaro,Toponym,landmark,Rio,Venezuela,unspecified,TopUrbiPlace15291
id_05179,,Ahorcados,Correction,Correction,-,unspecified,,TopUrbiPlace15292
id_05180,,Aicaropa,Correction,Correction,-,unspecified,,TopUrbiPlace15293
id_05181,,Ailes,Correction,Correction,-,unspecified,,TopUrbiPlace15294
id_05182,,Aimaraez,Correction,Correction,-,unspecified,,TopUrbiPlace15295
id_05183,,Akanceas,Correction,Correction,-,unspecified,,TopUrbiPlace15296
id_05184,,Alipes,Toponym,landmark,Rio,Maracaibo,unspecified,TopUrbiPlace15297
id_05185,,Almagro,Correction,Correction,-,unspecified,,TopUrbiPlace15298
id_05186,,Alojamiento,Correction,Correction,-,unspecified,,TopUrbiPlace15299
id_05187,,Alta,Correction,Correction,-,unspecified,,TopUrbiPlace15300
id_05188,id_00487a,Altagracia,Toponym,settlement,Pueblo,Guayana,unspecified,TopUrbiPlace15301
id_05189,,Altagracia,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace15302
id_05190,,Altamira,Correction,Correction,-,unspecified,,TopUrbiPlace15303
id_05191,,Altamira,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace12506
id_05192,,Altar,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace12507
id_05193,,Atlo,Correction,Correction,-,unspecified,,TopUrbiPlace12508
id_05194,,Altos de San Pedro,Toponym,landmark,Cerros,Venezuela,unspecified,TopUrbiPlace12509
id_05195,,Altotonga,Correction,Correction,-,unspecified,,TopUrbiPlace12510
id_05196,,Alua,Correction,Correction,-,unspecified,,TopUrbiPlace12511
id_05197,,Amarumayu,Correction,Correction,-,unspecified,,TopUrbiPlace12512
id_05198,,Amatitlan,Correction,Correction,-,unspecified,,TopUrbiPlace12513
id_05199,,Ambato,Correction,Correction,-,unspecified,,TopUrbiPlace12514
id_05200,,America,Correction,Correction,-,unspecified,,TopUrbiPlace12515
id_05201,,Amola,Correction,Correction,-,unspecified,,TopUrbiPlace12516
id_05202,,Amsterdam,Correction,Correction,-,unspecified,,TopUrbiPlace12517
id_05203,,,,Correction,-,unspecified,,TopUrbiPlace15320
id_05204,,,,Correction,-,unspecified,,TopUrbiPlace15321
id_05205,,,,Correction,-,unspecified,,TopUrbiPlace15322
id_05205a,,Sta. Ana,Toponym,settlement,Pueblo,Isla Margarita,unspecified,TopUrbiPlace12518
id_05206,,,Correction,Correction,-,unspecified,,TopUrbiPlace12519
id_05207,,Anaux,Toponym,landmark,Rio,Venezuela,unspecified,TopUrbiPlace12520
id_05207a,,,Correction,Correction,-,unspecified,,TopUrbiPlace12521
id_05208,,Andahuailas,Correction,Correction,-,unspecified,,TopUrbiPlace12522
id_05209,,Andalucia,Correction,Correction,-,unspecified,,TopUrbiPlace12523
id_05210,,Angaraes,Correction,Correction,-,unspecified,,TopUrbiPlace12524
id_05211,,Angeles,Correction,Correction,-,unspecified,,TopUrbiPlace15304
id_05212,,San Antonio,Toponym,settlement,Pueblo,Barinas,unspecified,TopUrbiPlace15305
id_05213,,San Antonio de las Cocuisas,Toponym,settlement,Pueblo,Barinas,unspecified,TopUrbiPlace15306
id_05214,,San Antonio de los Altos,Toponym,settlement,Pueblo,Caracas,unspecified,TopUrbiPlace15307
id_05215,,Apolobamba,Correction,Correction,-,unspecified,,TopUrbiPlace15308
id_05216,,Apure,Correction,Correction,-,unspecified,,TopUrbiPlace15309
id_05217,,Araca,Correction,Correction,-,unspecified,,TopUrbiPlace15310
id_05218,,Aragua,Toponym,landmark,Valles,Venezuela,unspecified,TopUrbiPlace15311
id_05219,,Araguita,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace15312
id_05220,,Arequipa,Correction,Correction,-,unspecified,,TopUrbiPlace15313
id_05221,,Arica,Correction,Correction,-,unspecified,,TopUrbiPlace15314
id_05222,,,Correction,Correction,-,unspecified,,TopUrbiPlace15315
id_05223,,Aroa,Correction,Correction,-,unspecified,,TopUrbiPlace15316
id_05224,,Arucara,Correction,Correction,-,unspecified,,TopUrbiPlace15317
id_05225,,Asangaro,Correction,Correction,-,unspecified,,TopUrbiPlace15318
id_05226,id_01287,Ascension,Toponym,settlement,Ciudad,unspecified,unspecified,TopUrbiPlace15319
id_05227,,Ascension,Correction,Correction,-,unspecified,,TopUrbiPlace15323
